"","x"
"1046",356150000
"1047",352004310
"1048",538006073
"1049",563185000
"1050",244190323
"1051",538008103
"1052",255806384
"1053",244660627
"1054",352005095
"1055",413527080
"1056",244890670
"1057",244192305
"1058",244710523
"1059",253242272
"1060",259279000
"1061",367457000
"1062",477995253
"1063",211765150
"1064",538006688
"1065",219355000
"1066",215135000
"1067",247272700
"1068",311000232
"1069",205229190
"1070",405000238
"1071",240560000
"1072",256765000
"1073",257840000
"1074",244734000
"1075",538011266
"1076",211781030
"1077",255805753
"1078",259134000
"1079",257054580
"1080",205338490
"1081",538003488
"1082",564671000
"1083",271053982
"1084",512219000
"1085",636023953
"1086",229291000
"1087",244660483
"1088",224220360
"1089",563142200
"1090",257364000
"1091",220504000
"1092",211522860
"1093",255806263
"1094",245073000
"1095",356117000
"1096",215077000
"1097",205588890
"1098",241705000
"1099",244002394
"1100",244700651
"1101",247335200
"1102",244730278
"1103",211515230
"1104",525016600
"1105",259746000
"1106",220502000
"1107",261198000
"1108",209835000
"1109",211475070
"1110",636013848
"1111",538008878
"1112",211885360
"1113",247439300
"1114",636022343
"1115",255806519
"1116",538011585
"1117",636020559
"1118",308539000
"1119",244660644
"1120",244710406
"1121",205097000
"1122",211511840
"1123",205523290
"1124",255946000
"1125",357246000
"1126",211547860
"1127",567228000
"1128",574013717
"1129",276538000
"1130",370049000
"1131",613961020
"1132",211507020
"1133",419001940
"1134",370613000
"1135",309924000
"1136",574002750
"1137",244363000
"1138",266457000
"1139",265002000
"1140",371241000
"1141",431020792
"1142",538008334
"1143",205397290
"1144",372373000
"1145",563084440
"1146",273322210
"1147",244790084
"1148",244700009
"1149",244082008
"1150",236668000
"1151",538009231
"1152",244189997
"1153",370854000
"1154",215712000
"1155",563104100
"1156",354324000
"1157",352005153
"1158",241611000
"1159",211876190
"1160",211178650
"1161",244650794
"1162",316012308
"1163",244730565
"1164",563036700
"1165",211550390
"1166",538005403
"1167",244660571
"1168",244670358
"1169",636025256
"1170",564968000
"1171",244001750
"1172",319194000
"1173",563310900
"1174",525100576
"1175",257600000
"1176",257027910
"1177",538005171
"1178",538009222
"1179",538009584
"1180",477997094
"1181",413334020
"1182",244660675
"1183",211590770
"1184",538007915
"1185",244870427
"1186",367102000
"1187",244710549
"1188",636021589
"1189",255802950
"1190",205772000
"1191",355171000
"1192",563126300
"1193",244660099
"1194",636093034
"1195",538010464
"1196",538005406
"1197",431501837
"1198",413319660
"1199",538003859
"1200",354579000
"1201",244029535
"1202",565523000
"1203",563103300
"1204",244602504
"1205",265612300
"1206",255801260
"1207",419001223
"1208",241957000
"1209",232014850
"1210",563053500
"1211",257136000
"1212",211667610
"1213",244660594
"1214",574005560
"1215",636024374
"1216",205580590
"1217",205283000
"1218",266212000
"1219",245669000
"1220",636013683
"1221",228444600
"1222",220442000
"1223",247274700
"1224",636017500
"1225",256516000
"1226",247438800
"1227",636021135
"1228",565974000
"1229",211483260
"1230",244650699
"1231",249085000
"1232",211474450
"1233",210299000
"1234",211624430
"1235",255915982
"1236",205217890
"1237",246878000
"1238",636016710
"1239",256717000
"1240",310773000
"1241",205269190
"1242",244660328
"1243",211514600
"1244",511101558
"1245",566255000
"1246",538008580
"1247",219034373
"1248",636025340
"1249",244974329
"1250",205535490
"1251",269057059
"1252",370592000
"1253",244663833
"1254",224994000
"1255",636021359
"1256",566134000
"1257",563166200
"1258",273271850
"1259",412493000
"1260",538005398
"1261",316015050
"1262",563077880
"1263",419756000
"1264",244377391
"1265",244710352
"1266",240205400
"1267",366525000
"1268",211757370
"1269",255917254
"1270",244650659
"1271",477997154
"1272",211216720
"1273",636015176
"1274",219805000
"1275",211792410
"1276",431005242
"1277",636022923
"1278",244630651
"1279",253470000
"1280",219222000
"1281",211511740
"1282",563023490
"1283",212422000
"1284",354919000
"1285",305265000
"1286",636016293
"1287",255806329
"1288",563021100
"1289",248163000
"1290",367690000
"1291",205501290
"1292",563033300
"1293",211821950
"1294",563603000
"1295",244317074
"1296",212883000
"1297",244001544
"1298",367771000
"1299",244000788
"1300",636016653
"1301",636015834
"1302",212228000
"1303",538008268
"1304",563313900
"1305",538003726
"1306",563012720
"1307",667001303
"1308",563766000
"1309",525119133
"1310",244397268
"1311",255707000
"1312",215345000
"1313",311000632
"1314",212874000
"1315",244890116
"1316",244000542
"1317",352005898
"1318",205423000
"1319",664444000
"1320",256791000
"1321",538010089
"1322",244780231
"1323",538005799
"1324",366826000
"1325",563085320
"1326",368295000
"1327",244187966
"1328",244730210
"1329",244770013
"1330",636023258
"1331",210106000
"1332",563020300
"1333",244660048
"1334",244127656
"1335",244700253
"1336",215064000
"1337",255806156
"1338",244329000
"1339",209825000
"1340",249997000
"1341",338188000
"1342",245610000
"1343",538008084
"1344",241699000
"1345",538010472
"1346",563258800
"1347",244690994
"1348",636016613
"1349",211283460
"1350",241212000
"1351",477997080
"1352",205691000
"1353",563092000
"1354",244670754
"1355",211277260
"1356",210048000
"1357",566549000
"1358",538003712
"1359",257041900
"1360",244130477
"1361",636017541
"1362",219028423
"1363",244660401
"1364",341531002
"1365",244013148
"1366",538005093
"1367",565512000
"1368",211782050
"1369",205542090
"1370",240688000
"1371",244650324
"1372",538005822
"1373",538005186
"1374",211186690
"1375",244100879
"1376",244770608
"1377",244700930
"1378",477996519
"1379",205551390
"1380",563056100
"1381",566582000
"1382",477129100
"1383",266475000
"1384",257562000
"1385",235308000
"1386",215052000
"1387",219028049
"1388",309022000
"1389",205564990
"1390",249723000
"1391",538007896
"1392",259314000
"1393",440034000
"1394",525301422
"1395",211510910
"1396",244830176
"1397",636021941
"1398",352001465
"1399",211514340
"1400",374022000
"1401",538003617
"1402",563708000
"1403",525201794
"1404",271051403
"1405",276260000
"1406",352001456
"1407",244042656
"1408",563129100
"1409",244810921
"1410",538005089
"1411",266473000
"1412",244770798
"1413",538009013
"1414",538005558
"1415",244670978
"1416",244690411
"1417",244130872
"1418",566687000
"1419",563231400
"1420",211442250
"1421",355759000
"1422",205549290
"1423",226340000
"1424",636022670
"1425",245405000
"1426",218006040
"1427",205238190
"1428",431004876
"1429",563013300
"1430",205393190
"1431",257093000
"1432",248621000
"1433",244202194
"1434",209672000
"1435",269057835
"1436",220603000
"1437",244670899
"1438",356922000
"1439",279202573
"1440",636023557
"1441",244001040
"1442",255916482
"1443",374465000
"1444",370360000
"1445",563269500
"1446",241415000
"1447",269057455
"1448",244670190
"1449",244700193
"1450",211511750
"1451",205505590
"1452",232006301
"1453",525401167
"1454",525107019
"1455",257956000
"1456",211367550
"1457",209168000
"1458",211484420
"1459",218027120
"1460",613427200
"1461",352005601
"1462",238296000
"1463",371326000
"1464",256354000
"1465",244620841
"1466",311041700
"1467",211514040
"1468",563406000
"1469",369914055
"1470",574927000
"1471",205553090
"1472",563217500
"1473",372298000
"1474",269057072
"1475",525701047
"1476",367036000
"1477",244700131
"1478",244740453
"1479",567002850
"1480",211139860
"1481",563082690
"1482",538006488
"1483",566680000
"1484",538010989
"1485",563001270
"1486",311000766
"1487",230212000
"1488",244690328
"1489",205521990
"1490",244670103
"1491",255806265
"1492",215238000
"1493",244630427
"1494",244660114
"1495",352005936
"1496",205104000
"1497",211626510
"1498",241132000
"1499",241654000
"1500",244710207
"1501",244660152
"1502",431001715
"1503",244902363
"1504",244376425
"1505",563140200
"1506",244630829
"1507",246541000
"1508",636015142
"1509",351075000
"1510",477996392
"1511",205435190
"1512",244780045
"1513",244670834
"1514",668116220
"1515",244650812
"1516",244750309
"1517",244700044
"1518",258310000
"1519",244750081
"1520",211446560
"1521",667002070
"1522",538004199
"1523",244170263
"1524",565513000
"1525",235076283
"1526",219029880
"1527",244001504
"1528",244660646
"1529",538007911
"1530",563127800
"1531",244030670
"1532",244690367
"1533",244660891
"1534",227689560
"1535",636013998
"1536",564189000
"1537",373711000
"1538",236507000
"1539",431019444
"1540",211319650
"1541",244650711
"1542",538009153
"1543",220625000
"1544",538011648
"1545",215033000
"1546",355388000
"1547",538011464
"1548",563091800
"1549",563134900
"1550",257568000
"1551",205310590
"1552",563014650
"1553",244660475
"1554",244660092
"1555",211511860
"1556",564966000
"1557",244620876
"1558",538002621
"1559",373373000
"1560",477147100
"1561",211520250
"1562",601045610
"1563",244078768
"1564",477218200
"1565",256029000
"1566",538007270
"1567",636091569
"1568",636021961
"1569",563326000
"1570",244670588
"1571",477995140
"1572",211788670
"1573",249128000
"1574",566709000
"1575",563314800
"1576",211785210
"1577",636025309
"1578",244660564
"1579",244042312
"1580",636015972
"1581",244700905
"1582",244860721
"1583",636022962
"1584",209507000
"1585",269057051
"1586",564886000
"1587",538011442
"1588",244670406
"1589",431006926
"1590",538007962
"1591",249912000
"1592",310482000
"1593",209048000
"1594",563059900
"1595",269057781
"1596",244670741
"1597",257084120
"1598",269057061
"1599",431009366
"1600",269057644
"1601",374112000
"1602",538009778
"1603",538010187
"1604",538011938
"1605",231875000
"1606",357792000
"1607",636022080
"1608",244750641
"1609",244123290
"1610",311001583
"1611",247482200
"1612",525008045
"1613",255917262
"1614",565102000
"1615",565968000
"1616",565081000
"1617",244780380
"1618",269057052
"1619",244790186
"1620",244700188
"1621",255915671
"1622",269057040
"1623",205230390
"1624",563100900
"1625",601010710
"1626",211744760
"1627",244000152
"1628",352002843
"1629",636022759
"1630",538002779
"1631",211744260
"1632",636020922
"1633",338607000
"1634",244660252
"1635",477996186
"1636",230707000
"1637",538006371
"1638",244730016
"1639",244690333
"1640",566598000
"1641",563024500
"1642",244820369
"1643",533132156
"1644",431016396
"1645",566686000
"1646",244670070
"1647",565173000
"1648",563132900
"1649",211511520
"1650",205253090
"1651",246940000
"1652",244066000
"1653",236112746
"1654",248409000
"1655",352006129
"1656",636022216
"1657",273251810
"1658",538011847
"1659",266420000
"1660",567000521
"1661",235055062
"1662",338221000
"1663",477548800
"1664",538090654
"1665",563250100
"1666",244790522
"1667",248011000
"1668",244750922
"1669",538009204
"1670",503000162
"1671",211303380
"1672",538006249
"1673",244131439
"1674",205568590
"1675",667002335
"1676",211493530
"1677",244620875
"1678",253242258
"1679",255915649
"1680",538011812
"1681",257206000
"1682",255915979
"1683",244700915
"1684",257374000
"1685",636023384
"1686",211809000
"1687",257089140
"1688",431004247
"1689",215909000
"1690",244670566
"1691",244890292
"1692",354114000
"1693",311001702
"1694",525018278
"1695",235076265
"1696",564375000
"1697",259111000
"1698",566065000
"1699",565946000
"1700",219010252
"1701",636021781
"1702",205571790
"1703",229015000
"1704",311000634
"1705",241646000
"1706",563067430
"1707",211455520
"1708",369042000
"1709",211162470
"1710",258715000
"1711",525008053
"1712",247430200
"1713",538008913
"1714",244131247
"1715",244058019
"1716",367219000
"1717",636018930
"1718",244830182
"1719",236112740
